Nome;Email;Data Nascimento;Sexo;Deficiencia
Gabriel Souza dos Santos;gabriel.sousa@gmail.com;28/04/1999;M;False
João Pedro Teixeira;isabella44@ig.com.br;02/04/1956;M;False
Raquel Dias;cteixeira@uol.com.br;20/05/1960;M;True
Isabelly da Rocha;da-cruzlarissa@hotmail.com;17/08/1962;M;False
Juan Pires;afogaca@hotmail.com;20/10/1991;F;False
Felipe Vieira;levida-costa@yahoo.com.br;22/08/1980;F;False
Sr. Vinicius Gomes;peixotosophie@porto.com;23/06/1965;F;True
Cecília Costela;vieiraluiz-felipe@da.net;03/04/1987;M;True
Marcela da Cunha;maria-clara19@ferreira.net;08/10/1964;M;True
Breno Ribeiro;meloana-carolina@hotmail.com;23/07/1984;M;False
Bruno da Conceição;da-conceicaoemilly@ig.com.br;05/04/1976;F;True
Gabriel Moraes;danilo84@gmail.com;24/07/2003;F;False
Luiz Gustavo Castro;souzaana-sophia@das.com;06/06/1959;M;False
Renan da Rosa;caldeiraesther@hotmail.com;07/08/1999;F;False
Ana Sophia Freitas;duartecamila@melo.br;08/03/1970;F;True
Thiago Moreira;jramos@fernandes.net;12/04/1970;M;False
